variant,candidate_building_count_before_area_filter,negative_area_buildings_excluded,candidate_building_count_after_area_filter,n_buildings,n_dated,buildings_with_non_null_area,buildings_with_positive_area,buildings_with_zero_area,buildings_with_missing_area,area_coverage_pct,positive_area_coverage_pct,m2_total,median_m2_total
D1,436194,0,436194,436194,436194,202890,194463,8427,233304,46.51370720367543,44.58176866256757,44670482,102.0
D1-exdisc,302261,0,302261,302261,302261,69115,68995,120,233146,22.865999913981625,22.826299125590136,9124669,90.0
D2,225706,6197,219509,219509,219509,66570,62696,3874,152939,30.32677475638812,28.561926845824086,16124889,112.0
D2-exdisc,148026,2616,145410,145410,145410,32252,32172,80,113158,22.180042638057905,22.125025789147927,4100180,97.0
D3,99664,0,99664,99664,99664,61922,58370,3552,37742,62.13075935142077,58.566784395569115,13525860,110.0
D3-exdisc,67553,0,67553,67553,67553,29816,29772,44,37737,44.13719597945317,44.07206193655352,3609511,94.0
D4,237012,0,237012,237012,200634,147012,140828,6184,90000,62.0272391271328,59.418088535601576,34505869,112.0
D4-exdisc,155299,0,155299,155299,133040,65327,65198,129,89972,42.06530628014347,41.98224070985647,8250216,94.0
D5,200634,0,200634,200634,200634,123136,119259,3877,77498,61.37344617562327,59.44107180238644,26572597,110.0
D5-exdisc,133040,0,133040,133040,133040,55570,55507,63,77470,41.76939266386049,41.72203848466627,6516956,91.0
D6,231962,0,231962,231962,231962,144552,138592,5960,87410,62.31710366353109,59.74771729852303,33699885,112.0
D6-exdisc,151693,0,151693,151693,151693,64311,64200,111,87382,42.39549616659964,42.32232205836789,8096153,94.0
