variant,year,n_buildings,buildings_with_non_null_area,buildings_with_positive_area,buildings_with_zero_area,buildings_with_missing_area,area_coverage_pct,positive_area_coverage_pct,m2_total,median_m2_total
D1,2000,24550,11784,11780,4,12766,48.0,47.9837067209776,2735421,104.0
D1,2001,322,160,160,0,162,49.68944099378882,49.68944099378882,47379,108.5
D1,2002,323,180,180,0,143,55.72755417956656,55.72755417956656,52211,112.5
D1,2003,370,199,199,0,171,53.783783783783775,53.783783783783775,60521,125.0
D1,2004,487,255,255,0,232,52.361396303901444,52.361396303901444,46142,100.0
D1,2005,613,307,307,0,306,50.08156606851549,50.08156606851549,75448,112.0
D1,2006,1007,528,528,0,479,52.43296921549155,52.43296921549155,111214,108.0
D1,2007,911,473,473,0,438,51.92096597145993,51.92096597145993,143150,123.0
D1,2008,1152,625,624,1,527,54.25347222222222,54.166666666666664,182016,106.0
D1,2009,1636,976,976,0,660,59.65770171149144,59.65770171149144,214625,112.0
D1,2010,1150,380,380,0,770,33.04347826086956,33.04347826086956,202607,132.0
D1,2011,12670,6491,6489,2,6179,51.23125493291239,51.21546961325967,1479835,110.0
D1,2012,22546,11655,11652,3,10891,51.69431384724563,51.68100771755522,2538929,108.0
D1,2013,23414,11330,11319,11,12084,48.38985222516443,48.34287178611088,2540551,105.0
D1,2014,23851,12167,12159,8,11684,51.01253616200579,50.978994591421745,2846636,110.0
D1,2015,24302,12344,12330,14,11958,50.79417331906839,50.73656489177846,2870979,108.0
D1,2016,25410,12578,12565,13,12832,49.50019677292404,49.44903581267218,2872590,110.0
D1,2017,28526,12753,12734,19,15773,44.70658346771366,44.63997756432728,2901440,101.0
D1,2018,26247,13120,13037,83,13127,49.98666514268297,49.67043852630777,3053990,101.0
D1,2019,32826,17460,15374,2086,15366,53.18954487296656,46.83482605251935,3733632,91.0
D1,2020,27366,12730,11699,1031,14636,46.517576554849086,42.75012789592926,2531616,96.0
D1,2021,29745,14871,13952,919,14874,49.99495713565305,46.90536224575559,2883917,96.0
D1,2022,32874,15519,14355,1164,17355,47.20751962036868,43.66672750501917,3007582,97.0
D1,2023,33525,10786,9839,947,22739,32.173005219985086,29.348247576435494,2289526,96.0
D1,2024,28218,10780,9772,1008,17438,38.202565738181306,34.630377773052665,2375925,101.0
D1,2025,32153,12439,11325,1114,19714,38.68690324386527,35.22221876652256,2872600,116.0
D1-exdisc,2000,16549,3809,3807,2,12740,23.016496465043204,23.00441114266723,390979,80.0
D1-exdisc,2001,192,30,30,0,162,15.625,15.625,2910,80.5
D1-exdisc,2002,180,37,37,0,143,20.555555555555554,20.555555555555554,3811,63.0
D1-exdisc,2003,241,70,70,0,171,29.045643153526974,29.045643153526974,9508,88.0
D1-exdisc,2004,325,93,93,0,232,28.615384615384613,28.615384615384613,8104,72.0
D1-exdisc,2005,402,96,96,0,306,23.88059701492537,23.88059701492537,11063,96.0
D1-exdisc,2006,679,200,200,0,479,29.455081001472756,29.455081001472756,26631,93.5
D1-exdisc,2007,599,164,164,0,435,27.378964941569283,27.378964941569283,16841,83.5
D1-exdisc,2008,780,253,252,1,527,32.43589743589744,32.30769230769231,36646,90.0
D1-exdisc,2009,1061,402,402,0,659,37.88878416588125,37.88878416588125,50017,100.0
D1-exdisc,2010,919,149,149,0,770,16.2132752992383,16.2132752992383,28115,109.0
D1-exdisc,2011,8200,2025,2024,1,6175,24.695121951219512,24.682926829268293,278452,89.0
D1-exdisc,2012,14598,3725,3725,0,10873,25.51719413618304,25.51719413618304,470195,92.0
D1-exdisc,2013,15851,3778,3776,2,12073,23.83445839379219,23.82184089331903,470624,90.0
D1-exdisc,2014,15580,3902,3898,4,11678,25.044929396662386,25.019255455712454,467877,89.0
D1-exdisc,2015,16351,4399,4395,4,11952,26.903553299492383,26.87908996391658,555795,89.0
D1-exdisc,2016,17128,4304,4297,7,12824,25.12844465203176,25.08757589911256,503329,90.0
D1-exdisc,2017,20269,4508,4503,5,15761,22.24086042725344,22.216192214712123,527806,86.0
D1-exdisc,2018,17019,3900,3898,2,13119,22.915564956812972,22.90381338504025,436125,87.0
D1-exdisc,2019,19710,4359,4330,29,15351,22.115677321156774,21.968543886352105,615263,86.0
D1-exdisc,2020,18948,4319,4307,12,14629,22.793962423474774,22.730631201182184,572019,90.0
D1-exdisc,2021,19507,4651,4636,15,14856,23.842723125032038,23.76582765161224,620715,88.0
D1-exdisc,2022,23073,5725,5715,10,17348,24.812551467082738,24.76921076583019,693585,90.0
D1-exdisc,2023,27213,4476,4467,9,22737,16.448021166354316,16.414948737735642,649295,90.0
D1-exdisc,2024,21853,4419,4409,10,17434,20.221479888344852,20.175719580835583,798937,94.0
D1-exdisc,2025,25034,5322,5315,7,19712,21.2590876408085,21.231125669090037,880027,100.0
D2,2000,32,1,1,0,31,3.125,3.125,9,9.0
D2,2001,41,0,0,0,41,0.0,0.0,0,
D2,2002,82,0,0,0,82,0.0,0.0,0,
D2,2003,133,1,1,0,132,0.7518796992481203,0.7518796992481203,80,80.0
D2,2004,190,0,0,0,190,0.0,0.0,0,
D2,2005,556,1,1,0,555,0.1798561151079137,0.1798561151079137,21,21.0
D2,2006,1016,0,0,0,1016,0.0,0.0,0,
D2,2007,1539,2,2,0,1537,0.1299545159194282,0.1299545159194282,70,35.0
D2,2008,3368,0,0,0,3368,0.0,0.0,0,
D2,2009,7862,3,3,0,7859,0.03815822945815314,0.03815822945815314,375,122.0
D2,2010,12887,12,11,1,12875,0.0931170947466439,0.08535733685109025,879,42.0
D2,2011,12951,10,8,2,12941,0.0772141147401745,0.061771291792139596,564,27.5
D2,2012,12329,11,10,1,12318,0.08922053694541325,0.08110957904128478,760,43.0
D2,2013,12699,7,6,1,12692,0.05512245058666037,0.04724781478856603,280,34.0
D2,2014,13904,11,11,0,13893,0.07911392405063292,0.07911392405063292,1086,89.0
D2,2015,14022,13,12,1,14009,0.09271145343032378,0.08557980316645272,232,12.0
D2,2016,14219,13,13,0,14206,0.09142696392151348,0.09142696392151348,896,40.0
D2,2017,12014,3715,3681,34,8299,30.92225736640586,30.639254203429335,973493,109.0
D2,2018,9730,6136,6104,32,3594,63.06269270298047,62.73381294964029,1825376,118.0
D2,2019,11288,7049,6879,170,4239,62.446846208362864,60.94082211197732,1745858,110.0
D2,2020,11905,7457,7164,293,4448,62.63754724905502,60.17639647207056,1735835,110.0
D2,2021,13059,8220,7782,438,4839,62.94509533654951,59.59108660693775,1826818,108.0
D2,2022,13884,8458,7856,602,5426,60.91904350331316,56.583117257274566,1894818,107.0
D2,2023,12020,7193,6579,614,4827,59.84193011647254,54.73377703826955,1669482,106.0
D2,2024,12579,7926,7144,782,4653,63.009778201764846,56.793067811431754,1780073,113.0
D2,2025,15200,10331,9428,903,4869,67.96710526315789,62.026315789473685,2667884,126.0
D2-exdisc,2000,14,1,1,0,13,7.142857142857142,7.142857142857142,9,9.0
D2-exdisc,2001,26,0,0,0,26,0.0,0.0,0,
D2-exdisc,2002,47,0,0,0,47,0.0,0.0,0,
D2-exdisc,2003,77,1,1,0,76,1.2987012987012987,1.2987012987012987,80,80.0
D2-exdisc,2004,119,0,0,0,119,0.0,0.0,0,
D2-exdisc,2005,319,1,1,0,318,0.3134796238244514,0.3134796238244514,21,21.0
D2-exdisc,2006,633,0,0,0,633,0.0,0.0,0,
D2-exdisc,2007,874,1,1,0,873,0.11441647597254005,0.11441647597254005,25,25.0
D2-exdisc,2008,1918,0,0,0,1918,0.0,0.0,0,
D2-exdisc,2009,5136,3,3,0,5133,0.05841121495327102,0.05841121495327102,375,122.0
D2-exdisc,2010,8506,9,9,0,8497,0.10580766517752176,0.10580766517752176,653,38.0
D2-exdisc,2011,8339,7,5,2,8332,0.08394291881520566,0.0599592277251469,228,25.0
D2-exdisc,2012,8117,10,9,1,8107,0.12319822594554639,0.11087840335099175,611,39.0
D2-exdisc,2013,8437,6,5,1,8431,0.07111532535261349,0.059262771127177906,165,28.5
D2-exdisc,2014,8670,6,6,0,8664,0.06920415224913494,0.06920415224913494,334,44.5
D2-exdisc,2015,9396,12,12,0,9384,0.1277139208173691,0.1277139208173691,232,16.0
D2-exdisc,2016,9422,12,12,0,9410,0.12736149437486732,0.12736149437486732,867,40.0
D2-exdisc,2017,8100,1767,1760,7,6333,21.814814814814813,21.728395061728396,192106,90.0
D2-exdisc,2018,6356,2787,2783,4,3569,43.84833228445563,43.78539962240403,325351,95.0
D2-exdisc,2019,7707,3481,3466,15,4226,45.16673154275334,44.97210328272999,409273,93.0
D2-exdisc,2020,8176,3731,3723,8,4445,45.63356164383562,45.535714285714285,471846,96.0
D2-exdisc,2021,8937,4103,4093,10,4834,45.91026071388609,45.79836634217299,497120,95.0
D2-exdisc,2022,9764,4340,4335,5,5424,44.44899631298648,44.39778779188857,496190,96.0
D2-exdisc,2023,8438,3611,3606,5,4827,42.794501066603466,42.735245318795926,479082,96.0
D2-exdisc,2024,8355,3704,3693,11,4651,44.33273488928785,44.20107719928187,448537,100.0
D2-exdisc,2025,9527,4659,4648,11,4868,48.90311745565236,48.78765613519471,777075,108.0
D3,2000,10,5,5,0,5,50.0,50.0,447,93.0
D3,2008,1,1,1,0,0,100.0,100.0,32,32.0
D3,2009,1,1,1,0,0,100.0,100.0,123,123.0
D3,2011,1,1,1,0,0,100.0,100.0,110,110.0
D3,2012,5,4,4,0,1,80.0,80.0,740,159.0
