variant,region_name,n_buildings,buildings_with_non_null_area,buildings_with_positive_area,buildings_with_zero_area,buildings_with_missing_area,area_coverage_pct,positive_area_coverage_pct,m2_total,median_m2_total
D1,Region Hovedstaden,72309,25530,25187,343,46779,35.30680828112683,34.832455157725875,7267496,99.0
D1,Region Midtjylland,110570,57558,54886,2672,53012,52.05571131409966,49.63914262458171,12006453,110.0
D1,Region Nordjylland,66446,36899,34940,1959,29547,55.532311952562985,52.58405321614544,7487553,105.0
D1,Region Sjælland,74705,31530,30169,1361,43175,42.20601030720835,40.38417776587912,5889393,83.0
D1,Region Syddanmark,112164,51373,49281,2092,60791,45.80168324952748,43.936557184123245,12019587,109.0
D1-exdisc,Region Hovedstaden,60817,14048,14043,5,46769,23.09880461055297,23.09058322508509,2205478,88.5
D1-exdisc,Region Midtjylland,70262,17292,17246,46,52970,24.61074264894253,24.54527340525462,2155099,95.0
D1-exdisc,Region Nordjylland,40538,11026,11000,26,29512,27.19917114805861,27.13503379545118,1295300,91.0
D1-exdisc,Region Sjælland,56019,12868,12850,18,43151,22.970777771827418,22.93864581659794,1517936,73.0
D1-exdisc,Region Syddanmark,74625,13881,13856,25,60744,18.601005025125627,18.56750418760469,1950856,96.0
D2,Region Hovedstaden,31244,8785,8680,105,22459,28.11739854051978,27.781334016131098,2376319,105.0
D2,Region Midtjylland,64592,21079,19706,1373,43513,32.63407233093882,30.508422095615558,5311386,123.0
D2,Region Nordjylland,39485,11846,10966,880,27639,30.00126630365962,27.772571862732683,2337458,112.0
D2,Region Sjælland,33305,9226,8773,453,24079,27.701546314367214,26.341390181654408,1813892,88.0
D2,Region Syddanmark,50883,15634,14571,1063,35249,30.725389619322762,28.636283238016624,4285834,120.0
D2-exdisc,Region Hovedstaden,25612,6354,6349,5,19258,24.808683429642358,24.789161330626268,771749,97.0
D2-exdisc,Region Midtjylland,39131,8891,8851,40,30240,22.721116250543048,22.618895504842705,1155439,104.0
D2-exdisc,Region Nordjylland,24863,5186,5172,14,19677,20.858303503197522,20.801994932228613,634911,97.0
D2-exdisc,Region Sjælland,24885,5596,5586,10,19289,22.487442234277676,22.447257383966246,631097,80.0
D2-exdisc,Region Syddanmark,30919,6225,6214,11,24694,20.133251398816263,20.09767456903522,906984,103.0
D3,Region Hovedstaden,15246,8300,8206,94,6946,54.44050898596353,53.823953823953815,1919934,103.0
D3,Region Midtjylland,30011,19510,18257,1253,10501,65.00949651794342,60.834360734397386,4360150,120.0
D3,Region Nordjylland,17355,11152,10336,816,6203,64.25813886488044,59.556323825986745,2063317,110.0
D3,Region Sjælland,14413,8538,8125,413,5875,59.23818774717269,56.37271907305904,1544510,84.0
D3,Region Syddanmark,22639,14422,13446,976,8217,63.70422721851672,59.39308273333628,3637949,118.0
D3-exdisc,Region Hovedstaden,12986,6040,6040,0,6946,46.51162790697674,46.51162790697674,726383,96.0
D3-exdisc,Region Midtjylland,18576,8078,8054,24,10498,43.48621877691645,43.357019810508184,981327,100.0
D3-exdisc,Region Nordjylland,11093,4890,4882,8,6203,44.08185342107635,44.00973586946723,580221,95.0
D3-exdisc,Region Sjælland,11040,5166,5160,6,5874,46.79347826086956,46.73913043478261,568059,76.0
D3-exdisc,Region Syddanmark,13858,5642,5636,6,8216,40.71294559099437,40.6696493000433,753521,99.0
D4,Region Hovedstaden,34445,18814,18602,212,15631,54.62040934823632,54.00493540426767,5607911,102.0
D4,Region Midtjylland,68870,45040,42882,2158,23830,65.39857702918542,62.265137215042834,10629587,124.0
D4,Region Nordjylland,42106,27058,25620,1438,15048,64.26162542155512,60.846435187384216,5396689,114.0
D4,Region Sjælland,37123,21639,20815,824,15484,58.29000888936777,56.07036069283193,4139663,90.0
D4,Region Syddanmark,54468,34461,32909,1552,20007,63.268341044282884,60.41896159212749,8732019,120.0
D4-exdisc,Region Hovedstaden,28050,12421,12417,4,15629,44.28163992869875,44.26737967914438,1592358,93.0
D4-exdisc,Region Midtjylland,41119,17294,17241,53,23825,42.05841581750529,41.929521632335415,2262053,100.0
D4-exdisc,Region Nordjylland,26040,10999,10975,24,15041,42.23886328725038,42.14669738863287,1354490,96.0
D4-exdisc,Region Sjælland,27490,12009,11979,30,15481,43.684976355038195,43.575845762095305,1325252,78.0
D4-exdisc,Region Syddanmark,32600,12604,12586,18,19996,38.66257668711656,38.607361963190186,1716063,99.0
D5,Region Hovedstaden,29802,16237,16100,137,13565,54.48292060935508,54.023219918126294,4112060,100.0
D5,Region Midtjylland,57173,36898,35584,1314,20275,64.53745649170062,62.23916883843772,7933117,120.0
D5,Region Nordjylland,35400,22531,21644,887,12869,63.646892655367225,61.1412429378531,4263813,111.0
D5,Region Sjælland,31413,18077,17596,481,13336,57.54623881832362,56.01502562633305,3246597,88.0
D5,Region Syddanmark,46846,29393,28335,1058,17453,62.74388421636853,60.4854203133672,7017010,119.0
D5-exdisc,Region Hovedstaden,24492,10929,10928,1,13563,44.62273395394414,44.61865098807774,1274155,92.0
D5-exdisc,Region Midtjylland,34546,14276,14245,31,20270,41.32461066404215,41.234875238812016,1706007,97.0
D5-exdisc,Region Nordjylland,22192,9330,9316,14,12862,42.042177361211245,41.97909156452776,1076636,93.0
D5-exdisc,Region Sjælland,23549,10216,10208,8,13333,43.38188458108625,43.34791286254193,1096074,75.0
D5-exdisc,Region Syddanmark,28261,10819,10810,9,17442,38.282438696436785,38.2505926895722,1364084,97.0
D6,Region Hovedstaden,33397,18320,18132,188,15077,54.855226517351866,54.29230170374585,5383001,102.0
D6,Region Midtjylland,67885,44557,42449,2108,23328,65.63600206231126,62.53075053399131,10430050,124.0
D6,Region Nordjylland,40790,26311,24919,1392,14479,64.50355479284138,61.090953665114,5172743,112.0
D6,Region Sjælland,35895,21089,20336,753,14806,58.75191530853879,56.654130101685475,4048093,90.0
D6,Region Syddanmark,53995,34275,32756,1519,19720,63.478099824057786,60.664876377442354,8665998,120.0
D6-exdisc,Region Hovedstaden,27225,12150,12147,3,15075,44.62809917355372,44.617079889807165,1539197,92.0
D6-exdisc,Region Midtjylland,40600,17277,17229,48,23323,42.55418719211823,42.435960591133004,2280262,101.0
D6-exdisc,Region Nordjylland,25201,10729,10704,25,14472,42.57370739256379,42.47450497996111,1299977,95.0
D6-exdisc,Region Sjælland,26474,11671,11653,18,14803,44.0847624084007,44.01677117171565,1279977,78.0
D6-exdisc,Region Syddanmark,32193,12484,12467,17,19709,38.77861646941882,38.72580995868667,1696740,99.0
