scope,column,label,role,row_count,null_count,null_pct,zero_count,negative_count,nonpositive_count,unusable_count,unusable_pct,positive_count,min_m2,mean_m2,median_m2,p95_m2,p99_m2,max_m2,sum_m2
temporal_rows,byg038SamletBygningsareal,Total floor area,primary candidate,33820994,14558867,43.046833573253345,161323,41403,202726,14761593,43.64624233102079,19059401,-39928,289.0158589962573,128.0,895.0,3234.0,1196150,5567060181
temporal_rows,byg039BygningensSamledeBoligAreal,Residential area,use component,33820994,20189384,59.69482741991557,12176,24224,36400,20225784,59.80245287882432,13595210,-10307,205.466531832997,134.0,369.0,1998.0,26202598,2800839630
temporal_rows,byg040BygningensSamledeErhvervsAreal,Commercial area,use component,33820994,27391217,80.98879944214531,195049,74411,269460,27660677,81.7855235124077,6160317,-120120,502.8650373100031,185.0,1729.0,5502.0,2288140,3233310051
temporal_rows,byg041BebyggetAreal,Building footprint,diagnostic only,33820994,1537890,4.547146071460821,45453,55494,100947,1638837,4.845620445099869,32182157,-30947,150.01828293834447,75.0,435.0,1500.0,2152126,4843055830
temporal_rows,byg042ArealIndbyggetGarage,Integrated garage,supplementary,33820994,33255635,98.32837852134092,8521,9041,17562,33273197,98.380304848521,547797,-177,43.691505751212944,40.0,83.0,132.0,37236,24701386
temporal_rows,byg043ArealIndbyggetCarport,Integrated carport,supplementary,33820994,33164483,98.0588654490758,6716,7271,13987,33178470,98.1002214186845,642524,-150,31.356032115227315,30.0,55.0,74.0,1694,20585580
temporal_rows,byg044ArealIndbyggetUdhus,Integrated outbuilding,supplementary,33820994,31500147,93.13785100461565,15569,17624,33193,31533340,93.2359941875156,2287654,-744,15.03893880122214,10.0,38.0,106.0,1836,34903076
temporal_rows,byg045ArealIndbyggetUdestueEllerLign,Integrated conservatory,supplementary,33820994,32602088,96.396007757785,27163,24782,51945,32654033,96.54959579248322,1166961,-608,20.57116299370091,19.0,36.0,63.0,6472,25074314
temporal_rows,byg046SamletArealAfLukkedeOverdækningerPåBygningen,Closed covered area,supplementary,33820994,33794955,99.92300935921635,342,255,597,33795552,99.92477453501219,25442,-557,74.83620722762011,21.0,302.0,604.0,4641,1948660
temporal_rows,byg047ArealAfAffaldsrumITerrænniveau,Ground-level waste room,supplementary,33820994,33804129,99.9501345229534,122,44,166,33804295,99.95062534235393,16699,-183,34.433738511710644,16.0,137.0,253.0,1213,580725
temporal_rows,byg048AndetAreal,Other area,use component,33820994,33540055,99.16933547251746,4372,3823,8195,33548250,99.1935659844888,272744,-6384,111.5720387699821,29.0,428.0,1420.0,74216,31344937
temporal_rows,byg049ArealAfOverdækketAreal,Covered area,supplementary,33820994,31293725,92.52751412332825,20283,24225,44508,31338233,92.65911285753458,2482761,-6000,23.52159940235883,15.0,53.0,184.0,13218,59445409
temporal_rows,byg050ArealÅbneOverdækningerPåBygningenSamlet,Open covered area,supplementary,33820994,33748950,99.78698438017523,254,801,1055,33750005,99.79010374443756,70989,-500,39.18040364221864,17.0,138.0,424.0,9111,2822713
temporal_rows,byg051Adgangsareal,Access area,supplementary,33820994,33700353,99.64329552230191,372,735,1107,33701460,99.64656863721983,119534,-703,219.69371938229955,84.0,868.0,2172.0,28152,26504070
temporal_rows,byg130ArealAfUdvendigEfterisolering,External insulation area,supplementary,33820994,33798770,99.93428933519813,1061,33,1094,33799864,99.93752401245214,21130,-161,31.846877249820015,9.0,150.0,306.0,714,707765
currently_effective,byg038SamletBygningsareal,Total floor area,primary candidate,6250071,3202392,51.237689939842284,79409,16406,95815,3298207,52.77071252470572,2951864,-39928,236.006106942365,120.0,701.0,2501.0,194057,719270856
currently_effective,byg039BygningensSamledeBoligAreal,Residential area,use component,6250071,3994293,63.90796200555162,3437,8841,12278,4006571,64.10440777392769,2243500,-10307,173.31050573239034,130.0,313.0,1378.0,238296,390950026
currently_effective,byg040BygningensSamledeErhvervsAreal,Commercial area,use component,6250071,5341153,85.45747720305897,87944,24735,112679,5453832,87.26032072275659,796239,-39928,421.8075877031811,160.0,1528.0,4535.0,210660,383388509
currently_effective,byg041BebyggetAreal,Building footprint,diagnostic only,6250071,580373,9.285862512601858,17482,22168,39650,620023,9.920255305899724,5630048,-30947,124.11304217614412,59.0,352.0,1181.0,171857,703683467
currently_effective,byg042ArealIndbyggetGarage,Integrated garage,supplementary,6250071,6152140,98.43312179973636,2356,3399,5755,6157895,98.52520075371943,92176,-177,42.40442760719282,40.0,82.0,130.0,37236,4152708
currently_effective,byg043ArealIndbyggetCarport,Integrated carport,supplementary,6250071,6142798,98.28365149771899,1881,2796,4677,6147475,98.35848264763712,102596,-140,30.13781659877136,30.0,54.0,72.0,1153,3232974
currently_effective,byg044ArealIndbyggetUdhus,Integrated outbuilding,supplementary,6250071,5832749,93.32292385158505,4658,6595,11253,5844002,93.502969806263,406069,-744,14.441884204523125,10.0,37.0,100.0,1836,6026916
currently_effective,byg045ArealIndbyggetUdestueEllerLign,Integrated conservatory,supplementary,6250071,6016316,96.25996248682615,7828,9510,17338,6033654,96.53736733550707,216417,-608,19.18879596158371,19.0,36.0,57.0,2280,4485477
currently_effective,byg046SamletArealAfLukkedeOverdækningerPåBygningen,Closed covered area,supplementary,6250071,6245495,99.9267848317243,98,67,165,6245660,99.92942480173426,4411,-557,73.94252622377623,20.0,320.0,600.0,4641,338361
currently_effective,byg047ArealAfAffaldsrumITerrænniveau,Ground-level waste room,supplementary,6250071,6247704,99.96212843022103,20,14,34,6247738,99.96267242404126,2333,-150,27.5559780312632,14.0,101.0,239.0,1213,65225
currently_effective,byg048AndetAreal,Other area,use component,6250071,6214252,99.42690251038748,876,1172,2048,6216300,99.45967013814723,33771,-6384,85.83399871576538,25.0,339.0,1120.0,22402,3074488
currently_effective,byg049ArealAfOverdækketAreal,Covered area,supplementary,6250071,5745846,91.93249164689489,6627,9412,16039,5761885,92.18911273167937,488186,-6000,21.039855223362586,15.0,48.0,147.0,7879,10608821
currently_effective,byg050ArealÅbneOverdækningerPåBygningenSamlet,Open covered area,supplementary,6250071,6250071,100.0,0,0,0,6250071,100.0,0,,,,,,,0
currently_effective,byg051Adgangsareal,Access area,supplementary,6250071,6230089,99.68029163188706,101,182,283,6230372,99.68481958044957,19699,-703,166.0779201281153,60.0,645.0,1596.0,28152,3318569
currently_effective,byg130ArealAfUdvendigEfterisolering,External insulation area,supplementary,6250071,6243335,99.89222522432145,594,10,604,6243939,99.90188911453966,6132,-161,26.721496437054633,8.0,125.0,278.0,623,179996
currently_effective_status_10,byg038SamletBygningsareal,Total floor area,primary candidate,445088,244079,54.83836904162772,7289,0,7289,251368,56.47602271910274,193720,0,222.65274191702858,104.0,707.0,2110.0,150000,44755205
currently_effective_status_10,byg039BygningensSamledeBoligAreal,Residential area,use component,445088,374934,84.23817312531455,224,0,224,375158,84.28850025163563,69930,0,129.29663312141858,99.0,251.0,711.0,25074,9070676
currently_effective_status_10,byg040BygningensSamledeErhvervsAreal,Commercial area,use component,445088,311169,69.91179272413545,7379,0,7379,318548,71.56966712200733,126540,0,285.79734018324507,128.0,921.0,2676.0,150000,38273694
currently_effective_status_10,byg041BebyggetAreal,Building footprint,diagnostic only,445088,933,0.20962146811417068,0,0,0,933,0.20962146811417068,444155,1,114.7959383548536,40.0,386.0,1128.0,150000,50987190
currently_effective_status_10,byg042ArealIndbyggetGarage,Integrated garage,supplementary,445088,443188,99.57311812495506,14,0,14,443202,99.57626357035014,1886,0,37.306315789473686,29.0,80.0,164.0,641,70882
currently_effective_status_10,byg043ArealIndbyggetCarport,Integrated carport,supplementary,445088,443530,99.64995686246316,11,0,11,443541,99.652428283845,1547,0,26.750320924261874,21.0,52.0,105.0,950,41677
