indicator,indicator_name,axis,axis_value,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D1,Historical status,ever_discontinued,false,5050906,302261,5.984292718969626,69115,22.865999913981625,9124669,90.0
D1,Historical status,ever_discontinued,true,1199169,133933,11.168817739618019,133775,99.88203056752256,35545813,120.0
D1,Historical status,last_use_discontinued,false,5864485,350492,5.976517972166354,117329,33.475514419729976,21124306,92.0
D1,Historical status,last_use_discontinued,true,385590,85702,22.22619881220986,85561,99.83547641828662,23546176,128.0
D2,Demolition business process,ever_discontinued,false,5050906,148026,2.9306821390063487,32252,21.788064258981528,4100180,97.0
D2,Demolition business process,ever_discontinued,true,1199169,77680,6.477819223145362,34318,44.178681771369725,12024709,153.0
D2,Demolition business process,last_use_discontinued,false,5864485,173781,2.9632781054090853,57684,33.19350216651993,13464719,108.0
D2,Demolition business process,last_use_discontinued,true,385590,51925,13.466376202702351,8886,17.1131439576312,2660170,152.0
D3,Historical AND process-3,ever_discontinued,false,5050906,67553,1.337443223057408,29816,44.13719597945317,3609511,94.0
D3,Historical AND process-3,ever_discontinued,true,1199169,32111,2.6777710231001635,32106,99.98442901186509,9916349,150.0
D3,Historical AND process-3,last_use_discontinued,false,5864485,90852,1.5491897412986817,53114,58.46211420772245,10876216,105.0
D3,Historical AND process-3,last_use_discontinued,true,385590,8812,2.2853289763738687,8808,99.95460735360872,2649644,154.0
D4,Demolition case (total),ever_discontinued,false,5050906,155299,3.074676107613169,65327,42.06530628014347,8250216,94.0
D4,Demolition case (total),ever_discontinued,true,1199169,81713,6.814135455469579,81685,99.96573372657961,26255653,152.0
D4,Demolition case (total),last_use_discontinued,false,5864485,194768,3.3211441413866694,104795,53.805039842273885,22322650,103.0
D4,Demolition case (total),last_use_discontinued,true,385590,42244,10.955678311159522,42217,99.93608559795474,12183219,151.0
D5,Demolition case (incl. partial),ever_discontinued,false,5050906,162557,3.218373099796353,69640,42.84035753612579,9157943,96.0
D5,Demolition case (incl. partial),ever_discontinued,true,1199169,86595,7.221250716120914,86567,99.96766556960563,30026930,154.0
D5,Demolition case (incl. partial),last_use_discontinued,false,5864485,206553,3.5220995534987303,113635,55.01493563395351,26864245,106.0
D5,Demolition case (incl. partial),last_use_discontinued,true,385590,42599,11.047745014134184,42572,99.93661823047489,12320628,150.0
D6,Completion proxy,ever_discontinued,false,5050906,133040,2.633982893366061,55570,41.76939266386049,6516956,91.0
D6,Completion proxy,ever_discontinued,true,1199169,67594,5.636736773549016,67566,99.95857620498862,20055641,150.0
D6,Completion proxy,last_use_discontinued,false,5864485,158606,2.704517105935133,81135,51.1550634906624,14439734,98.0
D6,Completion proxy,last_use_discontinued,true,385590,42028,10.899660260898882,42001,99.93575711430475,12132863,151.0
D7,Case-date proxy for felt 295,ever_discontinued,false,5050906,158678,3.141574996644166,68449,43.137044832932105,8980278,96.0
D7,Case-date proxy for felt 295,ever_discontinued,true,1199169,85013,7.089326024938937,84985,99.96706386082128,29237540,154.0
D7,Case-date proxy for felt 295,last_use_discontinued,false,5864485,201310,3.4326969887381416,111080,55.17858029904128,25941824,106.0
D7,Case-date proxy for felt 295,last_use_discontinued,true,385590,42381,10.991208278222983,42354,99.93629220641324,12275994,150.0
