indicator,indicator_name,use_code,building_use_group,last_use_discontinued,stock_buildings,demolished_buildings,demolition_rate_pct,demolished_buildings_with_area,demolished_area_coverage_pct,demolished_m2_total,median_demolished_m2_total
D1,Historical status,290,Production & energy,true,4409,2484,56.33930596507144,2476,99.6779388083736,483518,75.0
D1,Historical status,210,Agriculture,true,104897,56065,53.44766771213667,55975,99.83947204138055,12988493,131.0
D1,Historical status,230,Production & energy,true,5145,2593,50.39844509232264,2585,99.69147705360587,366700,17.0
D1,Historical status,390,Commerce & services,true,1597,691,43.2686286787727,691,100.0,87292,46.0
D1,Historical status,310,Transport,true,3350,1320,39.40298507462687,1319,99.92424242424242,410205,120.0
D1,Historical status,520,Leisure,true,1116,349,31.272401433691755,346,99.14040114613181,58068,41.0
D1,Historical status,220,Production & energy,true,18284,5102,27.904178516735946,5091,99.7843982751862,2769390,200.0
D1,Historical status,490,Institutions,true,2059,514,24.963574550752792,512,99.61089494163424,123491,108.5
D1,Historical status,440,Institutions,true,5333,1170,21.938871179448714,1170,100.0,269680,161.5
D1,Historical status,330,Commerce & services,true,6038,1265,20.95064590924147,1265,100.0,334198,85.0
D1,Historical status,530,Leisure,true,3969,829,20.88687326782565,828,99.87937273823884,257201,104.5
D1,Historical status,420,Institutions,true,11989,2419,20.176828759696388,2419,100.0,1113921,171.0
D1,Historical status,320,Commerce & services,true,34225,6905,20.175310445580717,6888,99.75380159304852,3334956,165.0
D1,Historical status,410,Institutions,true,3110,553,17.781350482315112,553,100.0,204194,123.0
D1,Historical status,430,Institutions,true,1861,236,12.681354110693178,236,100.0,239549,456.0
D1,Historical status,130,Housing,true,178208,3207,1.7995825103250134,3207,100.0,505320,92.0
D2,Demolition business process,210,Agriculture,true,104897,34138,32.544305366216385,5777,16.922491065674613,1317876,149.0
D2,Demolition business process,310,Transport,true,3350,871,26.0,139,15.958668197474168,38453,141.0
D2,Demolition business process,390,Commerce & services,true,1597,330,20.66374452097683,76,23.03030303030303,10675,53.0
D2,Demolition business process,220,Production & energy,true,18284,3757,20.548020126886897,423,11.25898323130157,251601,246.0
D2,Demolition business process,290,Production & energy,true,4409,822,18.643683374914946,123,14.963503649635038,37518,105.0
D2,Demolition business process,490,Institutions,true,2059,368,17.87275376396309,62,16.847826086956523,20652,197.0
D2,Demolition business process,520,Leisure,true,1116,179,16.03942652329749,32,17.877094972067038,3093,54.0
D2,Demolition business process,230,Production & energy,true,5145,809,15.724003887269195,104,12.855377008652658,13985,63.0
D2,Demolition business process,440,Institutions,true,5333,817,15.319707481717607,231,28.274173806609546,62119,204.0
D2,Demolition business process,330,Commerce & services,true,6038,864,14.309373964889035,116,13.425925925925927,29692,161.5
D2,Demolition business process,320,Commerce & services,true,34225,4893,14.296566837107378,735,15.021459227467812,455815,264.0
D2,Demolition business process,530,Leisure,true,3969,512,12.899974804736711,107,20.8984375,42439,160.0
D2,Demolition business process,420,Institutions,true,11989,1512,12.611560597214114,311,20.56878306878307,181530,189.0
D2,Demolition business process,410,Institutions,true,3110,357,11.479099678456592,70,19.607843137254903,27011,212.0
D2,Demolition business process,430,Institutions,true,1861,175,9.403546480386888,51,29.142857142857142,76423,624.0
D2,Demolition business process,130,Housing,true,178208,1521,0.8534970371700484,529,34.779750164365545,91288,105.0
D3,Historical AND process-3,210,Agriculture,true,104897,5775,5.505400535763654,5772,99.94805194805195,1317468,149.0
D3,Historical AND process-3,390,Commerce & services,true,1597,76,4.758922980588603,76,100.0,10675,53.0
D3,Historical AND process-3,440,Institutions,true,5333,230,4.312769548096756,230,100.0,61844,203.0
D3,Historical AND process-3,310,Transport,true,3350,138,4.119402985074627,138,100.0,38291,140.5
D3,Historical AND process-3,490,Institutions,true,2059,62,3.011170471102477,62,100.0,20652,197.0
D3,Historical AND process-3,520,Leisure,true,1116,32,2.867383512544803,32,100.0,3093,54.0
D3,Historical AND process-3,290,Production & energy,true,4409,123,2.7897482422317985,123,100.0,37518,105.0
D3,Historical AND process-3,430,Institutions,true,1861,51,2.740462117141322,51,100.0,76423,624.0
