proxy,definition,n_proxy,n_intersection,recall_of_kmd,precision,jaccard,comparison
D1,status == 10 (Historisk) — inclusive register-exit,436194,141799,0.9515881164730594,0.3250824174564529,0.31979350846173277,raw
D2,forretningsproces == 3,225706,44046,0.29558494896418436,0.19514766997775868,0.13320107780193727,raw
D3,status == 10 and forretningsproces == 3,99664,43914,0.2946991202109883,0.44062048482902555,0.2144625738048378,raw
D4,demolition case sagstype == 32 (hel),237012,148431,0.9960943004972721,0.6262594299022834,0.6247253718528246,raw
D5,"demolition case sagstype in {31, 32}",249152,148431,0.9960943004972721,0.5957447662471101,0.5943563952044976,raw
D6,status == 10 and demolition case sagstype == 32 — recommended completion-proxy,200634,141439,0.9491722198734338,0.7049602759253167,0.679315876431261,raw
D7,"demolition case with a case date present (approximation of felt 295, NOT the real flag)",243691,145699,0.9777603296356694,0.5978842058180236,0.5898625533896075,raw
D1,status == 10 (Historisk) — inclusive register-exit,219792,103634,1.0,0.4715094270947077,0.4715094270947077,window_2011_2019
D2,forretningsproces == 3,25155,25088,0.2420827141671652,0.9973365136155834,0.241926307364442,window_2011_2019
D3,status == 10 and forretningsproces == 3,25155,25088,0.2420827141671652,0.9973365136155834,0.241926307364442,window_2011_2019
D4,demolition case sagstype == 32 (hel),103903,103311,0.9968832622498408,0.9943023781796483,0.9912210005181049,window_2011_2019
D5,"demolition case sagstype in {31, 32}",104325,103311,0.9968832622498408,0.9902803738317757,0.9872238360981577,window_2011_2019
D6,status == 10 and demolition case sagstype == 32 — recommended completion-proxy,103903,103311,0.9968832622498408,0.9943023781796483,0.9912210005181049,window_2011_2019
D7,"demolition case with a case date present (approximation of felt 295, NOT the real flag)",103543,102596,0.9899839820908196,0.9908540413161682,0.9810194968493321,window_2011_2019
