a,b,intersection,jaccard
D1,D1,242954,1.0
D1,D2,93962,0.37785668614353907
D1,D3,93988,0.3868551248384468
D1,D4,101668,0.4184660470706389
D1,D5,101668,0.4184660470706389
D1,D6,87098,0.3210122252813068
D2,D1,93962,0.37785668614353907
D2,D2,99679,1.0
D2,D3,93962,0.9424000802366983
D2,D4,93765,0.8715677343793572
D2,D5,93765,0.8715677343793572
D2,D6,84515,0.646975067173948
D3,D1,93988,0.3868551248384468
D3,D2,93962,0.9424000802366983
D3,D3,93988,1.0
D3,D4,93781,0.9205496932515338
D3,D5,93781,0.9205496932515338
D3,D6,83076,0.6573560480776078
D4,D1,101668,0.4184660470706389
D4,D2,93765,0.8715677343793572
D4,D3,93781,0.9205496932515338
D4,D4,101668,1.0
D4,D5,101668,1.0
D4,D6,87098,0.6697939817128971
D5,D1,101668,0.4184660470706389
D5,D2,93765,0.8715677343793572
D5,D3,93781,0.9205496932515338
D5,D4,101668,1.0
D5,D5,101668,1.0
D5,D6,87098,0.6697939817128971
D6,D1,87098,0.3210122252813068
D6,D2,84515,0.646975067173948
D6,D3,83076,0.6573560480776078
D6,D4,87098,0.6697939817128971
D6,D5,87098,0.6697939817128971
D6,D6,115467,1.0
