variant,year,n_buildings,m2_etage,stock_m2_bolig_erhverv,rate_etage_pct,m2_total,stock_m2_samlet_etageareal,rate_total_pct
D1,2011,12670,1559581,644761000,0.24188513263054065,1479835,716824000,0.20644328314900173
D1,2012,22546,2690930,647859000,0.4153573539921495,2538929,721039000,0.35212089776003797
D1,2013,23414,2750954,651003000,0.4225716317743543,2540551,725270000,0.3502903746191074
D1,2014,23851,3036517,654935000,0.4636363913976196,2846636,730089000,0.3899026009157788
D1,2015,24302,3061552,658437000,0.46497265493889317,2870979,734392000,0.3909327715988191
D1,2016,25410,3043261,661173000,0.46028210468364555,2872590,738306000,0.38907851216162403
D1,2017,28526,3111547,665061000,0.46785888813206605,2901440,743102000,0.3904497632895619
D1,2018,26247,3252330,678229000,0.4795327241978742,3053990,753873000,0.4051066956901229
D1,2019,32826,3902770,677107000,0.5763889606812513,3733632,755430000,0.4942393074143204
D1,2020,27366,2695796,672895000,0.4006265464894226,2531616,759803000,0.33319373574466016
D1,2021,29745,3054265,684795000,0.44601158010791553,2883917,775560000,0.371849631234205
D1,2022,32874,3188616,683117000,0.4667745056849705,3007582,781586000,0.3848049990660017
D1,2023,33525,2416663,686180000,0.3521908245649829,2289526,787818000,0.2906161067657759
D1,2024,28218,2530671,691175000,0.3661404130647086,2375925,794177000,0.2991681955030176
D1,2025,32153,3054657,694865000,0.43960438358530074,2872600,798675000,0.35967070460450123
D1-exdisc,2011,8200,302437,644761000,0.046906838347852926,278452,716824000,0.03884523955671127
D1-exdisc,2012,14598,512103,647859000,0.07904544044305938,470195,721039000,0.06521075836397199
D1-exdisc,2013,15851,516250,651003000,0.0793007098277581,470624,725270000,0.06488948943152205
D1-exdisc,2014,15580,521905,654935000,0.07968806064723981,467877,730089000,0.0640849266322325
D1-exdisc,2015,16351,606966,658437000,0.09218285120672137,555795,734392000,0.07568097147027746
D1-exdisc,2016,17128,550905,661173000,0.08332236797328385,503329,738306000,0.06817349445893708
D1-exdisc,2017,20269,578407,665061000,0.0869705184937923,527806,743102000,0.07102739596986686
D1-exdisc,2018,17019,481867,678229000,0.07104783192697452,436125,753873000,0.05785125611343024
D1-exdisc,2019,19710,665011,677107000,0.09821357628853342,615263,755430000,0.0814454019565016
D1-exdisc,2020,18948,617507,672895000,0.09176870091173214,572019,759803000,0.07528517260395129
D1-exdisc,2021,19507,673706,684795000,0.09838068327017574,620715,775560000,0.08003442673680954
D1-exdisc,2022,23073,751408,683117000,0.10999696977238159,693585,781586000,0.08874071439355362
D1-exdisc,2023,27213,693967,686180000,0.10113483342563176,649295,787818000,0.0824168780098957
D1-exdisc,2024,21853,859254,691175000,0.1243178645060947,798937,794177000,0.10059936261060191
D1-exdisc,2025,25034,936988,694865000,0.13484461010412094,880027,798675000,0.11018587034776349
D2,2011,13660,4582,644761000,0.0007106509233654021,564,716824000,0.00007868040132584847
D2,2012,12896,4279,647859000,0.0006604832224295718,760,721039000,0.00010540345251782498
D2,2013,13299,3953,651003000,0.0006072168638239762,280,725270000,0.00003860631213203359
D2,2014,14580,7307,654935000,0.0011156832357409514,1086,730089000,0.00014874898813706274
D2,2015,14645,3336,658437000,0.0005066543951813157,232,734392000,0.000031590758069260015
