window,window_note,variant,n_years,mean_rate_etage_pct,coverage_pct_etage,mean_m2_etage_per_yr,mean_rate_total_pct,coverage_pct_total,mean_m2_total_per_yr
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D1,9,0.44360953804759945,44.54210741092267,2934382.4444444445,0.3742849118442638,44.58176866256757,2759842.4444444445
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D1-exdisc,9,0.07963091057280175,22.73366395267666,526205.6666666666,0.06524543710593901,22.826299125590136,480607.3333333333
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D2,9,0.08135943686693264,27.921278122867804,549020.3333333334,0.06719658663876896,27.777728549529034,505393.8888888889
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D2-exdisc,9,0.017460127436855828,21.86440219961358,117787.0,0.013724524993539204,21.734019699242026,103240.77777777778
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D3,9,0.06418397292374561,58.59086530743297,433205.8888888889,0.05333097484251928,58.566784395569115,401113.3333333333
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D3-exdisc,9,0.01477232600822576,44.023211404378785,99679.77777777778,0.011854972738223953,44.07206193655352,89163.55555555556
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D4,9,0.254185760231928,59.41597893777531,1680379.111111111,0.21092190379956413,59.418088535601576,1554264.111111111
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D4-exdisc,9,0.05946748377728469,41.91784879490531,392724.55555555556,0.04792786225071812,41.98224070985647,352810.6666666667
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D5,9,0.254185760231928,59.42562078212068,1680379.111111111,0.21092190379956413,59.44107180238644,1554264.111111111
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D5-exdisc,9,0.05946748377728469,41.65664461815995,392724.55555555556,0.04792786225071812,41.72203848466627,352810.6666666667
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D6,9,0.3081785654923093,59.74944171890223,2035443.888888889,0.2545280093922335,59.74771729852303,1873824.7777777778
2011-2019,Rune PhD anchor ~0.26%/yr (their 2010-2019; 2010 not in BYGB34),D6-exdisc,9,0.06977544232837604,42.25639943833927,460740.77777777775,0.05617775986982154,42.32232205836789,413407.0
2011-2025,full denominator era,D1,15,0.430922273061713,44.54210741092267,2890007.3333333335,0.36052450530110236,44.58176866256757,2719983.2
2011-2025,full denominator era,D1-exdisc,15,0.09180812380969017,22.73366395267666,617912.0666666667,0.0749647572437351,22.826299125590136,569336.2666666667
2011-2025,full denominator era,D2,15,0.16965199968037895,27.921278122867804,1158442.2666666666,0.1387533340344057,27.777728549529034,1074897.0
2011-2025,full denominator era,D2-exdisc,15,0.04428928496040595,21.86440219961358,302701.93333333335,0.035186001896966926,21.734019699242026,273267.8
2011-2025,full denominator era,D3,15,0.14154800522295524,58.59086530743297,967061.8666666667,0.1162828751434968,58.566784395569115,901683.8666666667
2011-2025,full denominator era,D3-exdisc,15,0.038672382356714344,44.023211404378785,264408.0,0.030965730340234105,44.07206193655352,240604.13333333333
