year,stock_m2_samlet_etageareal,stock_m2_boligareal,stock_m2_erhvervsareal,stock_m2_kaelderareal,stock_m2_bolig_erhverv
2011,716824000,316989000,327772000,62631000,644761000
2012,721039000,319005000,328854000,63140000,647859000
2013,725270000,321239000,329764000,63660000,651003000
2014,730089000,323371000,331564000,64163000,654935000
2015,734392000,325322000,333115000,64661000,658437000
2016,738306000,327259000,333914000,65404000,661173000
2017,743102000,329766000,335295000,66073000,665061000
2018,753873000,336032000,342197000,63439000,678229000
2019,755430000,337738000,339369000,63683000,677107000
2020,759803000,340999000,331896000,64024000,672895000
2021,775560000,349352000,335443000,64302000,684795000
2022,781586000,353866000,329251000,64630000,683117000
2023,787818000,357694000,328486000,64967000,686180000
2024,794177000,360533000,330642000,65392000,691175000
2025,798675000,363276000,331589000,65680000,694865000
2026,801292000,365588000,331534000,65876000,697122000
